Sin@tp(S/cell)=,1.0e-6
Cal. Fct.=,0.9671
nux,nuy,V(V),DC(V)
0.25700,0.25700,69.0167,0.0000
0.25800,0.25800,69.2257,0.0000
0.25900,0.25900,69.4341,0.0000
0.26000,0.26000,69.6417,0.0000
0.26100,0.26100,69.8487,0.0000
0.26200,0.26200,70.0550,0.0000
0.26300,0.26300,70.2606,0.0000
0.26400,0.26400,70.4656,0.0000
0.26500,0.26500,70.6698,0.0000
0.26600,0.26600,70.8734,0.0000
0.26700,0.26700,71.0763,0.0000
0.26800,0.26800,71.2785,0.0000
0.26900,0.26900,71.4799,0.0000
0.27000,0.27000,71.6807,0.0000
0.27100,0.27100,71.8808,0.0000
0.27200,0.27200,72.0802,0.0000
0.27300,0.27300,72.2789,0.0000
0.27400,0.27400,72.4769,0.0000
0.27500,0.27500,72.6742,0.0000
0.27600,0.27600,72.8708,0.0000
0.27700,0.27700,73.0667,0.0000
0.27800,0.27800,73.2618,0.0000
0.27900,0.27900,73.4563,0.0000
0.28000,0.28000,73.6500,0.0000
0.28100,0.28100,73.8430,0.0000
0.28200,0.28200,74.0353,0.0000
0.28300,0.28300,74.2268,0.0000
0.28400,0.28400,74.4177,0.0000
0.28500,0.28500,74.6078,0.0000
0.28600,0.28600,74.7972,0.0000
0.28700,0.28700,74.9858,0.0000
0.28800,0.28800,75.1737,0.0000
0.28900,0.28900,75.3609,0.0000
0.29000,0.29000,75.5473,0.0000
0.29100,0.29100,75.7331,0.0000
0.29200,0.29200,75.9180,0.0000
0.29300,0.29300,76.1022,0.0000
0.29400,0.29400,76.2857,0.0000
0.29500,0.29500,76.4684,0.0000
0.29600,0.29600,76.6504,0.0000
0.29700,0.29700,76.8317,0.0000
0.29800,0.29800,77.0121,0.0000
0.29900,0.29900,77.1919,0.0000
0.30000,0.30000,77.3708,0.0000
0.30100,0.30100,77.5490,0.0000
0.30200,0.30200,77.7265,0.0000
0.30300,0.30300,77.9032,0.0000
0.30400,0.30400,78.0791,0.0000
0.30500,0.30500,78.2543,0.0000
0.30600,0.30600,78.4286,0.0000
0.30700,0.30700,78.6023,0.0000
0.30800,0.30800,78.7751,0.0000
0.30900,0.30900,78.9472,0.0000
0.31000,0.31000,79.1185,0.0000
0.31100,0.31100,79.2890,0.0000
0.31200,0.31200,79.4588,0.0000
0.31300,0.31300,79.6277,0.0000
0.31400,0.31400,79.7959,0.0000
0.31500,0.31500,79.9633,0.0000
0.31600,0.31600,80.1299,0.0000
0.31700,0.31700,80.2957,0.0000
0.31800,0.31800,80.4608,0.0000
0.31900,0.31900,80.6250,0.0000
0.32000,0.32000,80.7885,0.0000
0.32100,0.32100,80.9511,0.0000
0.32200,0.32200,81.1130,0.0000
0.32300,0.32300,81.2740,0.0000
0.32400,0.32400,81.4343,0.0000
0.32500,0.32500,81.5938,0.0000
0.32600,0.32600,81.7524,0.0000
0.32700,0.32700,81.9103,0.0000
0.32800,0.32800,82.0673,0.0000
0.32900,0.32900,82.2235,0.0000
0.33000,0.33000,82.3789,0.0000
0.33100,0.33100,82.5336,0.0000
0.33200,0.33200,82.6874,0.0000
0.33300,0.33300,82.8403,0.0000
0.33400,0.33400,82.9925,0.0000
0.33500,0.33500,83.1438,0.0000
0.33600,0.33600,83.2944,0.0000
0.33700,0.33700,83.4441,0.0000
0.33800,0.33800,83.5929,0.0000
0.33900,0.33900,83.7410,0.0000
0.34000,0.34000,83.8882,0.0000
0.34100,0.34100,84.0346,0.0000
0.34200,0.34200,84.1802,0.0000
0.34300,0.34300,84.3249,0.0000
0.34400,0.34400,84.4688,0.0000
0.34500,0.34500,84.6119,0.0000
0.34600,0.34600,84.7541,0.0000
0.34700,0.34700,84.8955,0.0000
0.34800,0.34800,85.0360,0.0000
0.34900,0.34900,85.1757,0.0000
0.35000,0.35000,85.3146,0.0000
0.35100,0.35100,85.4526,0.0000
0.35200,0.35200,85.5898,0.0000
0.35300,0.35300,85.7261,0.0000
0.35400,0.35400,85.8616,0.0000
0.35500,0.35500,85.9962,0.0000
0.35600,0.35600,86.1300,0.0000
0.35700,0.35700,86.2629,0.0000
0.35800,0.35800,86.3950,0.0000
0.35900,0.35900,86.5262,0.0000
0.36000,0.36000,86.6566,0.0000
0.36100,0.36100,86.7861,0.0000
0.36200,0.36200,86.9147,0.0000
0.36300,0.36300,87.0425,0.0000
0.36400,0.36400,87.1694,0.0000
0.36500,0.36500,87.2955,0.0000
0.36600,0.36600,87.4206,0.0000
0.36700,0.36700,87.5449,0.0000
0.36800,0.36800,87.6684,0.0000
0.36900,0.36900,87.7910,0.0000
0.37000,0.37000,87.9127,0.0000
0.37100,0.37100,88.0335,0.0000
0.37200,0.37200,88.1534,0.0000
0.37300,0.37300,88.2725,0.0000
0.37400,0.37400,88.3907,0.0000
0.37500,0.37500,88.5080,0.0000
0.37600,0.37600,88.6245,0.0000
0.37700,0.37700,88.7401,0.0000
0.37800,0.37800,88.8547,0.0000
0.37900,0.37900,88.9685,0.0000
0.38000,0.38000,89.0814,0.0000
0.38100,0.38100,89.1935,0.0000
0.38200,0.38200,89.3046,0.0000
0.38300,0.38300,89.4149,0.0000
0.38400,0.38400,89.5242,0.0000
0.38500,0.38500,89.6327,0.0000
0.38600,0.38600,89.7403,0.0000
0.38700,0.38700,89.8470,0.0000
0.38800,0.38800,89.9527,0.0000
0.38900,0.38900,90.0576,0.0000
0.39000,0.39000,90.1616,0.0000
0.39100,0.39100,90.2647,0.0000
0.39200,0.39200,90.3669,0.0000
0.39300,0.39300,90.4682,0.0000
0.39400,0.39400,90.5686,0.0000
0.39500,0.39500,90.6681,0.0000
0.39600,0.39600,90.7667,0.0000
0.39700,0.39700,90.8644,0.0000
0.39800,0.39800,90.9612,0.0000
0.39900,0.39900,91.0571,0.0000
0.40000,0.40000,91.1520,0.0000
0.40100,0.40100,91.2461,0.0000
0.40200,0.40200,91.3392,0.0000
0.40300,0.40300,91.4315,0.0000
0.40400,0.40400,91.5228,0.0000
0.40500,0.40500,91.6132,0.0000
0.40600,0.40600,91.7027,0.0000
0.40700,0.40700,91.7913,0.0000
0.40800,0.40800,91.8789,0.0000
0.40900,0.40900,91.9657,0.0000
0.41000,0.41000,92.0515,0.0000
0.41100,0.41100,92.1364,0.0000
0.41200,0.41200,92.2204,0.0000
0.41300,0.41300,92.3035,0.0000
0.41400,0.41400,92.3856,0.0000
0.41500,0.41500,92.4668,0.0000
0.41600,0.41600,92.5471,0.0000
0.41700,0.41700,92.6265,0.0000
0.41800,0.41800,92.7050,0.0000
0.41900,0.41900,92.7825,0.0000
0.42000,0.42000,92.8591,0.0000
0.42100,0.42100,92.9347,0.0000
0.42200,0.42200,93.0095,0.0000
0.42300,0.42300,93.0833,0.0000
0.42400,0.42400,93.1561,0.0000
0.42500,0.42500,93.2281,0.0000
0.42600,0.42600,93.2991,0.0000
0.42700,0.42700,93.3692,0.0000
0.42800,0.42800,93.4383,0.0000
0.42900,0.42900,93.5065,0.0000
0.43000,0.43000,93.5738,0.0000
