0,65.536000000000001
1,-1086.6824122002658
2,-2234.3535447260988
3,-3372.9480639384828
4,-4497.9724574444472
5,-5604.9867679375748
6,-6689.6221156810834
7,-7747.5979404801828
8,-8774.738895097571
9,-9766.9913234414398
10,-10720.439258494123
11,-11631.319876844904
12,-12496.038348834918
13,-13311.18202570752
14,-14073.533907773803
15,-14780.085340440704
16,-15428.047887996134
17,-16014.864338290823
18,-16538.218794886383
19,-16996.045816840542
20,-17386.538570058925
21,-17708.155958043742
22,-17959.628703897626
23,-18139.96435957967
24,-18248.451222644406
25,-18284.661145006259
26,-18248.451222644406
27,-18139.96435957967
28,-17959.628703897633
29,-17708.155958043742
30,-17386.538570058929
31,-16996.045816840546
32,-16538.218794886383
33,-16014.864338290818
34,-15428.047887996134
35,-14780.085340440708
36,-14073.533907773803
37,-13311.182025707516
38,-12496.038348834923
39,-11631.319876844907
40,-10720.439258494125
41,-9766.9913234414435
42,-8774.738895097571
43,-7747.5979404801874
44,-6689.6221156810861
45,-5604.9867679375766
46,-4497.9724574444554
47,-3372.9480639384828
48,-2234.3535447261033
49,-1086.6824122002697
50,65.535999999997756
51,1217.7544122002655
52,2365.4255447260994
53,3504.0200639384866
54,4629.0444574444427
55,5736.0587679375722
56,6820.6941156810835
57,7878.6699404801757
58,8905.8108950975729
59,9898.0633234414345
60,10851.511258494116
61,11762.391876844904
62,12627.110348834916
63,13442.254025707516
64,14204.605907773803
65,14911.157340440703
66,15559.119887996138
67,16145.936338290818
68,16669.290794886383
69,17127.117816840542
70,17517.610570058921
71,17839.227958043743
72,18090.70070389763
73,18271.036359579666
74,18379.523222644402
75,18415.733145006259
76,18379.523222644402
77,18271.036359579666
78,18090.70070389763
79,17839.227958043743
80,17517.610570058925
81,17127.117816840542
82,16669.290794886383
83,16145.936338290812
84,15559.11988799613
85,14911.157340440705
86,14204.605907773806
87,13442.254025707525
88,12627.110348834925
89,11762.391876844904
90,10851.511258494129
91,9898.0633234414472
92,8905.8108950975857
93,7878.6699404801902
94,6820.6941156810826
95,5736.0587679375785
96,4629.0444574444573
97,3504.0200639384843
98,2365.4255447261053
99,1217.7544122002639
